First Name,Last Name,Birthdate,Grade
Alice,Smith,1992-05-14,88.24
Bob,Johnson,1988-09-03,75.89
Charlie,Davis,1990-12-20,92.47
David,Clark,1985-07-28,78.61
Emma,Miller,1993-03-10,86.75
Frank,Moore,1987-11-05,95.12
Grace,Anderson,1986-02-18,79.33
Henry,Baker,1991-08-22,63.45
Isabel,Wilson,1995-01-30,71.89
Jack,Martin,1989-06-14,87.56
Katherine,White,1984-04-08,90.12
Liam,Thomas,1994-09-25,82.36
Mia,Walker,1997-12-03,94.75
Noah,Allen,1998-07-19,70.25
Olivia,Hill,1983-10-17,76.58
Paul,Campbell,1996-04-28,88.97
Quinn,Parker,1982-01-12,91.33
Ryan,Evans,1999-11-08,84.76
Sophia,Bailey,1980-08-31,77.89
Tyler,Cox,1981-05-06,96.45
